web-scraper-order,web-scraper-start-url,ReviewLink,ReviewLink-href,Pagination,ReviewText,Date,Title,UserID
"1738785631-16","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","If I could give less than 1 star I would. THIS CRAP IS HORRIBLE. Packaging 0/10 hate the puff ball. Product 0/10 doesn't blend well and ends up patchy. Formula 0/10 NO BLENDABILITY and DRIED OUT ALMOST IMMEDIATELY","12 Sep 2024","DO NOT BUY","MarieWhite"
"1738785631-17","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","While I love the color and formula of this product I absolutely hate the packaging. Messy and desperately in need of an update.","1 Sep 2024","","LexiBeautyRouge"
"1738785631-18","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","I have sworn by this product for i think over a year now? And i’ve had the same one for 6 months, use it almost daily. The applicator is so soft and stays intact and you don’t need much product. A little goes a long way with this blush. Charlotte Tilbury does it every time.","21 Aug 2024","","alyssaross1"
"1738785631-19","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","It was great in the first few months but then it dried up and it’s a mess! It’s a battle to get some product off the tube. Very disappointing: (","18 Aug 2024","Great until it dries up","AlexTx"
"1738785631-20","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","Does not work very well and hardly anything in the container","10 Aug 2024","Not worth it","allie4life"
"1738785631-21","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","I for one love charlotte tilbury products, but this one tops the charts! A perfect shade of pink with a beautiful matte finish 😘 This blush is perfect for the summer “sunkissed” look!","8 Aug 2024","Stunning summertime blush!","clarebear21"
"1738785631-22","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","It’s a nice blush but has its flaws. I have fair cool skin and can look orange on my skin. You also have to use a lot of product or it disappears on the skin. The packaging is also really messy. It is a noce color and feels nice on the skin.","5 Aug 2024","","LilacAlora"
"1738785631-23","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","Much alike to the  contour, this product is very patchy with little product for its price. Sure, it is pigmented, but there are other blushes that will perform better.","30 Jul 2024","Not worth the splurge.","Ally2026"
"1738785631-24","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","Wanted to love this because the contour wand is amazing however the colour is way to pigmented and doesn’t go on as nicely as the contour wand product. Patchy. Just not a fan at all.","25 Jul 2024","","melania21"
"1738785631-25","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","I see many negative reviews on this product, but I absolutely love it. The color is sheer and beautiful and blends nicely. A little goes a long way, so don’t overuse. I carefully unlock the applicator sponge, then, then squeeze just enough to moisten the sponge, then lock it again. That amount will last me several days with no leaking asqueeze just enough to moisten the sponge and then lock the applicator and that amount of blush will last me several days without leaking.","16 Jul 2024","Beautiful Product!","kmcis"
"1738785631-26","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","When I bought this blush I loved it. As the weeks passed it became more patchy on my cheeks and it separated at the skin. Definitely a skip for me which is a bummer given the fact of the price point and the beautiful color. In my opinion you can skip this blush.","14 Jul 2024","Sadly a skip for me","Isabelli12"
"1738785631-27","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","The color is great, the feel and blendability is great but the packaging is atrocious. The locking mechanism does not stay locked so you never know what you’re gonna get when you take the top off. I have ruined two blouses and a brand new make up case because the creamy blush got all over the place and it’s impossible to get out once you get it on your clothes - threw mine just the trash in fear of ruining another favorite top!","12 Jul 2024","","Oceans22"
"1738785631-28","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","doesn’t blend well into other makeup even if ingredients have the same base","11 Jul 2024","","sammy01"
"1738785631-29","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","First of all, the packaging on this product is beautiful! I love the applicator, and spills and leaks aren't common at all. The pigment is on point, and the blush stays on all day, which is convenient for me. Aside from the high price point, I have no complaints. There's so much product for the price, so it's very convenient. It blends seamlessly into my skin and looks absolutely stunning! Overall, the only way to describe this product is amazing! Charlotte Tilbury brings it's A game to the table, or in this case, the vanity.","8 Jul 2024","Must have blush!","Sophia101118"
"1738785631-30","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","After using this for a while I actually liked the color and the formula wasn’t bad. The reason I gave 3 stars was for the packaging. After I would squeeze more product out it became so messy with the product all over the inside of the tube and outside of the tube. I would recommend but the packaging was just a let down.","6 Jul 2024","Just beware of the packaging !","laurasophiaa29"
"1738785631-31","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","Awful blush but beautiful color. Dries as soon as you put it on so cannot blend out . Returning.","24 Jun 2024","Just say no","XochOlg"
"1738785631-32","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","What a great product!  This blush is the perfect color for me.  Easy to apply and long lasting, I love the wand applicator.","19 Jun 2024","Stays on forever!","KatGram"
"1738785631-33","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","The way how this blends on the face, the natural glow and color on your skin. Wow! Wonderful!!!","15 Jun 2024","",""
"1738785631-34","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","Love the formula looking forward to getting more, but the price is pretty pricey. Also, the shade is a little darker in real life, but it does blend out really pretty. ￼","14 Jun 2024","","beautyreviews12"
"1738785631-35","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","love the color however i find it difficult to blend. it does last though.","14 Jun 2024","difficult to blend","sharona1980"
"1738785631-36","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","The most perfect red shade I have found so far! I used to use the pixie blush in the shade, Rubee! But that one was not very pigmented. So when I found this one, I knew that it was perfect! ￼","11 Jun 2024","My new fav blush!!!","auzi5050"
"1738785631-37","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","i know the price is scary but this is my favorite blush!!! it’s so easy to apply and so smooth to blend..delicate and subtle yet makes a statement. don’t let the price scare you, get it!","8 Jun 2024","this is a NEED","morganxann"
"1738785631-38","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","application is simple if you gently dab the product! colour is so beautiful on my light neutral olive skin (as per the review before stated). buildable and overall great if you’re willing to spend $$. I just wish the lid twisted shut instead of the simple pull off.","7 Jun 2024","pricey but great","wildefairy"
"1738785631-39","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","Beautiful color and long lasting! Gives you that sun-kissed look especially if you have light olive skin tone. A very little product goes a very long way!","31 May 2024","A must-have!!","RanaYkn"
"1738785631-40","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","It lifted my foundation , the thing is that I absolutely love the colour . Returning","29 May 2024","Lifted my makeup underneath.","amandyvee"
"1738785631-41","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","So cute and perfect. Love the 🍑 peachy pink blush look and has a great finish.","28 May 2024","Buy it!!","mahanoirb"
"1738785631-42","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","Application was really easy specially for people who don’t wear a lot of make up! I like what smooth it went on and how well it blended in. Definitely a perfect keep in your purse product.","27 May 2024","Easy to use","rebeccajax"
"1738785631-43","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","I treated myself with this one but for me it did not live up to the hype. It’s not pigmented enough after blending and I need to apply a lot more product to get the same result as some of my other “less is more” blushes . Also, the applicator is just not it.  The twisty thing is driving me crazy.","26 May 2024","Overhyped :(","kashishhh"
"1738785631-44","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","It’s so dewy and pigmented ￼10 out of 10 recommend","25 May 2024","","jenny839232"
"1738785631-45","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","Gorgeous color, beautifully goes on, application is messy","20 May 2024","pretty, minus the application","Reedadair"
"1738785631-46","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","For the price, there is barely any product. It’s overpriced imo and there’s better luxury makeup out there that definitely had WAYYY more pigment. The color is more of a peach pink. SO disappointing","19 May 2024","Not worth it","lilbadgal"
"1738785631-47","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","It's not bendable, wasn't my shade, barely any product, not true to pictures, patchy, drying, hard to remove.","11 May 2024","eh.","Lilyismeee"
"1738785631-48","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","I really enjoyed the product but find it too expensive to repurchase. I also felt like the tube was half full at the time of purchase. Doesn't last very long if using regularly.","2 May 2024","nice but expensive","MsNicA"
"1738785631-49","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","Love the colour, easy to use. The tube is easy to carry and applicator is nice and no product is wasted.","2 May 2024","Love it !","CocoBGirl"
"1738785631-50","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","Like o there’s have mentioned the packaging almost makes you want to hate it. The doing applicator twist to open thing is not doing it for me, just so messy. Pay off is cute, very blendable, nice sheen/texture. Definitely use a brush to blend this, do not use a beauty blender it just eats this product right up! Overall it’s cute but not life changing.","2 May 2024","It’s aight 🤷🏻‍♀️",""
"1738785631-51","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","I think this is a splurge type of product that you can get but don’t need. The color is very pretty, but I found it hard to blend out. Overall, I don’t think it was worth the price, but I do like it but wouldn’t repurchase.","28 Apr 2024","Pretty but quality is ok","Lalro"
"1738785631-52","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","I tried to love and make this blush on work, but unfortunately it didn't work for me. Too patchy and I had to remove it using makeup remover and change into another blush on! So disappointed and this is too expensive!","26 Apr 2024","No. Don't buy this","Alian15"
"1738785631-53","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","I’ve been looking for a pink shade cream blush and I like Charlotte Tilbury lipsticks and setting powder so I decided to give this blush a try. It has a low pigment, it is buildable but it just didn’t look natural looking, so I returned it right away.","24 Apr 2024","Not so much pigment","zibaghasemi"
"1738785631-54","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","I put two small dots on my cheek and blend it out with a brush.  On the occasion that I get too much on my cheek I just dab it with a wet beauty blender and that does the trick. I have every color Charlotte Tillbury blush and this is my new favorite with the pillow talk highlighter.","22 Apr 2024","A little goes a long way","FranDeSantiago"
"1738785631-55","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","It’s really hard to blend it No worth it! It’s really messy","19 Apr 2024","waste of money","jennysgm03"
"1738785631-56","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","Perfect everyday blush. The formula is matte but not drying. Blends out easily and has medium pigment level. Easier for this novice to work with vs the rare beauty which are VERY pigmented. I have all the colors!","18 Apr 2024","Best liquid blush for all levels","blushing4days"
"1738785631-57","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","Separates on skin, goes on patchy and doesn’t last. Not worth the money. I would expect way better for the price point.","16 Apr 2024","Just no","ksheah"
"1738785631-58","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","I have used this product every day but one for the last week and I regretted the day I didn't use it. The formula is amazing - I was worried it would be too pigmented (looking at you Rare Beauty) but it blended out so easily and stayed put all day. The color is also perfect for my very fair muted olive tone skin. I didn't want to love this product because it's a bit pricey but I use only a few dots each day so I feel like the tube will last me quite a while. I can't wait to use this more!","12 Apr 2024","A new daily favorite","AshBol"
"1738785631-59","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","I wanted to love it so bad but I just find it really hard to apply. It freezez immediately and it gets so hard to blend. Does anyone have that problem if not please advice me on how to use it because i may be wrong.","12 Apr 2024","","Fionacobo"
"1738785631-60","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","I've been using this for almost a year now, and I actually love it! At first I was blending it out with a beauty blender, so it seemed like there was no color payoff. however I've learnt that it's best to blend it out with a brush, and mostly on the outer edges. I do layer it with powder blush but it is an extremely long lasting combo. and a little goes a long way if you blend it out right and mostly at the edges. yes it is pricy, and it doesn't take long for it to seem like the tube is mostly finished, but that's deceiving. Pink pop is my favorite, but I also like Peach pop and the contour shade.","12 Apr 2024","","ZSahar"
"1738785631-61","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","The initial color is bright and beautiful but once you blend or brush it out, the color completely dissipates. You have to layer with a powder blush to even bring out any color. This isn’t the pop of pink I was expecting. Maybe perfect for a natural beat or very very light makeup, but not for a soft glam or full makeup look","31 Mar 2024","Not nearly as pigmented as advertised!","ChristisLord1"
"1738785631-62","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","i love this blush!!! it is so pigmented and the perfect shade!","21 Mar 2024","","Anna1040"
"1738785631-63","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product","779","https://www.sephora.com/product/matte-beauty-blush-wands-P504020?skuId=2697829&icid2=products%20grid:p504020:product#ratings-reviews-container","","Eh, I wouldn’t say it’s worth the money. It has a shimmery finish which some people love but I don’t particularly like it and the color pay off isn’t anything near what I would have expected with that price tag. If you are looking for a good blush I personally love the Marit blushes in any color, my favorite is cheecky.","21 Mar 2024","Not worth the money","makennakopriva"
